CPU %,Memory %,Memory mb,Memory max,Disk %,Date/Time
0.0,47.9,768602112,1089597440,37.3,2023-10-17 13:59:26.141160
6.0,47.9,770310144,1087893504,37.3,2023-10-17 13:59:29.172481
0.0,47.9,769933312,1088266240,37.3,2023-10-17 14:00:39.560777
1.8,48.0,771686400,1086504960,37.3,2023-10-17 14:01:39.561565
0.0,48.0,770539520,1087651840,37.3,2023-10-17 14:02:39.565657
1.7,48.0,770621440,1087569920,37.3,2023-10-17 14:03:39.565808
0.0,48.0,770928640,1087258624,37.3,2023-10-17 14:04:39.564578
1.7,48.1,772788224,1085411328,37.3,2023-10-17 15:00:22.926477
2.8,48.1,773427200,1084768256,37.3,2023-10-17 15:00:35.977758
1.9,48.3,778076160,1080115200,37.3,2023-10-17 15:03:07.025019
0.0,48.2,776028160,1082163200,37.3,2023-10-17 15:16:36.516669
1.8,48.5,781246464,1076944896,37.3,2023-10-17 15:26:36.518466
0.0,48.2,776630272,1081565184,37.4,2023-10-17 15:36:36.523476
2.0,48.2,775069696,1083125760,37.3,2023-10-17 15:46:36.526089
0.0,48.2,775049216,1083154432,37.3,2023-10-17 15:56:36.521457
1.7,48.3,777420800,1080782848,37.3,2023-10-17 16:06:36.522528
0.0,48.0,771760128,1086459904,37.4,2023-10-17 16:16:36.525022
1.7,47.9,770056192,1088163840,37.4,2023-10-17 16:26:36.521808
0.0,48.2,776687616,1081528320,37.4,2023-10-17 16:36:36.521686
1.7,48.1,774057984,1084157952,37.4,2023-10-17 16:46:36.521007
0.0,48.2,774885376,1083330560,37.4,2023-10-17 16:56:36.521678
1.7,47.9,769294336,1088921600,37.4,2023-10-17 17:06:36.520132
0.0,48.0,770551808,1087664128,37.4,2023-10-17 17:16:36.516240
1.7,47.8,766595072,1091620864,37.4,2023-10-17 17:26:36.516691
0.0,47.9,769396736,1088819200,37.4,2023-10-17 17:36:36.515275
1.8,47.9,769724416,1088491520,37.4,2023-10-17 17:38:29.252576
0.0,47.9,770199552,1088016384,37.4,2023-10-17 17:39:24.717898
1.7,47.9,769892352,1088323584,37.4,2023-10-17 17:46:36.515800
0.0,47.9,769019904,1089196032,37.4,2023-10-17 17:48:29.252866
1.7,47.9,769392640,1088823296,37.4,2023-10-17 17:49:24.718046
1.7,47.7,765865984,1092349952,37.5,2023-10-17 17:56:36.515853
1.7,47.8,766599168,1091616768,37.5,2023-10-17 17:58:29.251923
1.7,47.7,764563456,1093652480,37.5,2023-10-17 17:59:24.717623
1.7,47.7,764407808,1093808128,37.5,2023-10-17 18:06:36.516898
1.6,47.7,764928000,1093287936,37.5,2023-10-17 18:08:29.255688
1.6,47.7,764772352,1093443584,37.5,2023-10-17 18:09:24.718248
1.6,47.7,764571648,1093644288,37.5,2023-10-17 18:16:36.515907
1.6,47.7,765214720,1093001216,37.5,2023-10-17 18:18:29.252022
1.6,47.7,765243392,1092972544,37.5,2023-10-17 18:19:24.718231
1.6,47.6,763871232,1094344704,37.5,2023-10-17 18:26:36.516853
1.5,47.7,764727296,1093488640,37.5,2023-10-17 18:28:29.255958
1.5,47.7,764825600,1093390336,37.5,2023-10-17 18:29:24.717633
1.5,47.9,769114112,1089101824,37.5,2023-10-17 18:36:36.516016
1.6,47.9,769576960,1088638976,37.5,2023-10-17 18:38:29.252653
1.6,47.9,769015808,1089200128,37.5,2023-10-17 18:39:24.718401
1.6,47.9,768946176,1089269760,37.5,2023-10-17 18:46:36.515693
1.6,48.0,771272704,1086943232,37.5,2023-10-17 18:48:29.252044
1.7,48.0,770695168,1087520768,37.5,2023-10-17 18:49:24.718323
1.7,47.9,769388544,1088827392,37.5,2023-10-17 18:56:36.516472
1.7,47.7,764723200,1093492736,37.5,2023-10-17 18:58:29.252718
1.7,47.7,765321216,1092894720,37.5,2023-10-17 18:59:24.718223
1.7,47.7,765026304,1093189632,37.5,2023-10-17 19:06:36.515792
1.7,47.8,766627840,1091579904,37.5,2023-10-17 19:08:29.252392
1.7,47.8,766410752,1091796992,37.5,2023-10-17 19:09:24.718056
1.8,47.6,764059648,1094148096,37.5,2023-10-17 19:16:36.516417
1.8,47.7,764854272,1093353472,37.5,2023-10-17 19:18:29.255493
1.8,47.7,764928000,1093279744,37.5,2023-10-17 19:19:24.718322
1.8,47.6,763981824,1094225920,37.5,2023-10-17 19:26:36.516095
1.8,47.7,764817408,1093390336,37.5,2023-10-17 19:28:29.252786
1.9,47.7,765448192,1092759552,37.5,2023-10-17 19:29:24.718283
1.9,47.9,769196032,1089011712,37.5,2023-10-17 19:36:36.516324
1.9,47.9,769748992,1088458752,37.5,2023-10-17 19:38:29.252125
1.9,47.9,769515520,1088692224,37.5,2023-10-17 19:39:24.718036
1.9,47.9,769699840,1088507904,37.5,2023-10-17 19:46:36.516519
1.9,47.9,770162688,1088045056,37.5,2023-10-17 19:48:29.253434
1.9,47.9,770048000,1088159744,37.5,2023-10-17 19:49:24.720841
1.9,47.9,770076672,1088131072,37.5,2023-10-17 19:56:36.516015
1.9,47.9,770252800,1087954944,37.5,2023-10-17 19:58:29.252764
1.9,48.0,770523136,1087684608,37.5,2023-10-17 19:59:24.718039
1.8,47.9,768942080,1089265664,37.5,2023-10-17 20:06:36.516243
1.8,47.9,769552384,1088647168,37.5,2023-10-17 20:08:29.255464
1.8,47.9,769437696,1088770048,37.5,2023-10-17 20:09:24.717783
1.8,47.9,769564672,1088638976,37.5,2023-10-17 20:16:36.516107
1.8,47.9,770105344,1088098304,37.5,2023-10-17 20:18:29.252786
1.8,47.9,770093056,1088110592,37.5,2023-10-17 20:19:24.718025
1.8,47.7,765186048,1093017600,37.5,2023-10-17 20:26:36.515278
1.8,47.7,765882368,1092321280,37.5,2023-10-17 20:28:29.252045
1.8,47.7,765448192,1092755456,37.5,2023-10-17 20:29:24.717913
1.8,47.9,769318912,1088884736,37.5,2023-10-17 20:36:05.408793
1.8,47.9,769609728,1088593920,37.5,2023-10-17 20:36:36.519139
1.8,47.9,770064384,1088139264,37.5,2023-10-17 20:38:29.252826
1.8,47.9,770289664,1087913984,37.5,2023-10-17 20:39:24.718197
1.8,48.0,770555904,1087647744,37.5,2023-10-17 20:46:05.407997
1.8,47.9,770056192,1088147456,37.5,2023-10-17 20:46:36.515386
1.8,48.0,770543616,1087660032,37.5,2023-10-17 20:48:29.252264
1.8,48.0,770613248,1087590400,37.5,2023-10-17 20:49:24.717925
1.8,47.9,770420736,1087782912,37.5,2023-10-17 20:56:05.408558
1.8,47.9,770015232,1088188416,37.5,2023-10-17 20:56:36.518603
1.8,48.0,771305472,1086898176,37.5,2023-10-17 20:58:29.252023
1.8,47.9,770056192,1088147456,37.5,2023-10-17 20:59:24.718148
1.9,48.0,771289088,1086914560,37.5,2023-10-17 21:06:05.407913
1.9,48.0,770887680,1087315968,37.5,2023-10-17 21:06:36.515538
2.0,48.0,771055616,1087139840,37.6,2023-10-17 21:08:29.252600
2.0,48.0,771371008,1086824448,37.6,2023-10-17 21:09:24.717861
2.0,48.0,772112384,1086070784,37.6,2023-10-17 21:16:05.408494
2.0,48.0,771153920,1087029248,37.6,2023-10-17 21:16:36.515667
2.1,48.0,771682304,1086496768,37.5,2023-10-17 21:18:29.251984
2.1,48.0,771698688,1086480384,37.5,2023-10-17 21:19:24.718009
2.1,48.1,773255168,1084923904,37.5,2023-10-17 21:26:05.408720
2.1,48.1,774082560,1084096512,37.5,2023-10-17 21:26:36.518197
2.1,48.1,774574080,1083596800,37.5,2023-10-17 21:28:29.252679
2.1,48.1,773111808,1085059072,37.5,2023-10-17 21:29:24.718259
2.1,48.1,773357568,1084813312,37.5,2023-10-17 21:36:05.408350
2.1,48.0,772120576,1086050304,37.5,2023-10-17 21:36:36.515849
2.2,48.1,772915200,1085255680,37.5,2023-10-17 21:38:29.252321
2.2,48.1,774582272,1083588608,37.5,2023-10-17 21:39:24.718219
